country,year,SL.UEM.TOTL.ZS
Switzerland,2016,4.92000007629395
Switzerland,2015,4.80000019073486
Switzerland,2014,4.82999992370605
Switzerland,2013,4.75
Switzerland,2012,4.48000001907349
Switzerland,2011,4.40000009536743
Switzerland,2010,4.80000019073486
Switzerland,2009,4.11999988555908
Switzerland,2008,3.34999990463257
Switzerland,2007,3.65000009536743
Switzerland,2006,4.0
Switzerland,2005,4.44000005722046
Switzerland,2004,4.32000017166138
Switzerland,2003,4.11999988555908
Switzerland,2002,2.92000007629395
Switzerland,2001,2.49000000953674
Switzerland,2000,2.67000007629395
Czechia,2020,2.54999995231628
Czechia,2019,2.00999999046326
Czechia,2018,2.24000000953674
Czechia,2017,2.89000010490417
Czechia,2016,3.95000004768372
Czechia,2015,5.05000019073486
Czechia,2014,6.1100001335144
Czechia,2013,6.94999980926514
Czechia,2012,6.98000001907349
Czechia,2011,6.71000003814697
Czechia,2010,7.28000020980835
Czechia,2009,6.65999984741211
Czechia,2008,4.3899998664856
Czechia,2007,5.32000017166138
Czechia,2006,7.15000009536743
Czechia,2005,7.92999982833862
Czechia,2004,8.21000003814697
Czechia,2003,7.53999996185303
Czechia,2002,7.01999998092651
Czechia,2001,7.98999977111816
Czechia,2000,8.76000022888184
Germany,2020,3.80999994277954
Germany,2019,3.14000010490417
Germany,2018,3.38000011444092
Germany,2017,3.75
Germany,2016,4.11999988555908
Germany,2015,4.61999988555908
Germany,2014,4.98000001907349
Germany,2013,5.23000001907349
Germany,2012,5.38000011444092
Germany,2011,5.82000017166138
Germany,2010,6.96999979019165
Germany,2009,7.73999977111816
Germany,2008,7.51999998092651
Germany,2007,8.65999984741211
Germany,2006,10.25
Germany,2005,11.1700000762939
Germany,2004,10.7299995422363
Germany,2003,9.77999973297119
Germany,2002,8.47999954223633
Germany,2001,7.76999998092651
Germany,2000,7.92000007629395
Denmark,2020,5.6399998664856
Denmark,2019,5.01999998092651
Denmark,2018,5.13000011444092
Denmark,2017,5.82999992370605
Denmark,2016,5.98999977111816
Denmark,2015,6.28000020980835
Denmark,2014,6.92999982833862
Denmark,2013,7.38000011444092
Denmark,2012,7.80000019073486
Denmark,2011,7.76999998092651
Denmark,2010,7.75
Denmark,2009,6.40999984741211
Denmark,2008,3.6800000667572
Denmark,2007,3.79999995231628
Denmark,2006,3.90000009536743
Denmark,2005,4.82999992370605
Denmark,2004,5.19999980926514
Denmark,2003,5.40000009536743
Denmark,2002,4.26999998092651
Denmark,2001,4.15999984741211
Denmark,2000,4.48000001907349
Spain,2020,15.5299997329712
Spain,2019,14.1000003814697
Spain,2018,15.25
Spain,2017,17.2199993133545
Spain,2016,19.6299991607666
Spain,2015,22.0599994659424
Spain,2014,24.4400005340576
Spain,2013,26.0900001525879
Spain,2012,24.7900009155273
Spain,2011,21.3899993896484
Spain,2010,19.8600006103516
Spain,2009,17.8600006103516
Spain,2008,11.25
Spain,2007,8.22999954223633
Spain,2006,8.44999980926514
Spain,2005,9.14999961853027
Spain,2004,11.0900001525879
Spain,2003,11.2799997329712
Spain,2002,11.1499996185303
Spain,2001,10.3500003814697
Spain,2000,13.789999961853
Estonia,2020,6.80000019073486
Estonia,2019,4.44999980926514
Estonia,2018,5.36999988555908
Estonia,2017,5.76000022888184
Estonia,2016,6.76000022888184
Estonia,2015,6.19000005722046
Estonia,2014,7.34999990463257
Estonia,2013,8.63000011444092
Estonia,2012,10.0200004577637
Estonia,2011,12.3299999237061
Estonia,2010,16.7099990844727
Estonia,2009,13.5500001907349
Estonia,2008,5.44999980926514
Estonia,2007,4.59000015258789
Estonia,2006,5.90999984741211
Estonia,2005,8.02999973297119
Estonia,2004,10.25
Estonia,2003,11.289999961853
Estonia,2002,10.0299997329712
Estonia,2001,13.1300001144409
Estonia,2000,13.3599996566772
Finland,2020,7.76000022888184
Finland,2019,6.69000005722046
Finland,2018,7.3600001335144
Finland,2017,8.64000034332275
Finland,2016,8.81999969482422
Finland,2015,9.38000011444092
Finland,2014,8.65999984741211
Finland,2013,8.1899995803833
Finland,2012,7.69000005722046
Finland,2011,7.78000020980835
Finland,2010,8.39000034332275
Finland,2009,8.25
Finland,2008,6.36999988555908
Finland,2007,6.84999990463257
Finland,2006,7.71999979019165
Finland,2005,8.38000011444092
Finland,2004,10.3599996566772
Finland,2003,10.4700002670288
Finland,2002,10.4200000762939
Finland,2001,10.289999961853
Finland,2000,11.1300001144409
France,2020,8.01000022888184
France,2019,8.40999984741211
France,2018,9.02000045776367
France,2017,9.40999984741211
France,2016,10.0500001907349
France,2015,10.3500003814697
France,2014,10.289999961853
France,2013,9.92000007629395
France,2012,9.39999961853027
France,2011,8.8100004196167
France,2010,8.86999988555908
France,2009,8.73999977111816
France,2008,7.05999994277954
France,2007,7.65999984741211
France,2006,8.44999980926514
France,2005,8.48999977111816
France,2004,8.90999984741211
France,2003,8.3100004196167
France,2002,8.69999980926514
France,2001,8.60999965667725
France,2000,10.2200002670288
United Kingdom,2020,4.47200012207031
United Kingdom,2019,3.74000000953674
United Kingdom,2018,4.0
United Kingdom,2017,4.32999992370605
United Kingdom,2016,4.80999994277954
United Kingdom,2015,5.30000019073486
United Kingdom,2014,6.1100001335144
United Kingdom,2013,7.51999998092651
United Kingdom,2012,7.88000011444092
United Kingdom,2011,8.03999996185303
United Kingdom,2010,7.78999996185303
United Kingdom,2009,7.53999996185303
United Kingdom,2008,5.61999988555908
United Kingdom,2007,5.26000022888184
United Kingdom,2006,5.34999990463257
United Kingdom,2005,4.75
United Kingdom,2004,4.59000015258789
United Kingdom,2003,4.80999994277954
United Kingdom,2002,5.03999996185303
United Kingdom,2001,4.69999980926514
United Kingdom,2000,5.55999994277954
Greece,2020,16.2999992370605
Greece,2019,17.3099994659424
Greece,2018,19.2900009155273
Greece,2017,21.4899997711182
Greece,2016,23.5400009155273
Greece,2015,24.8999996185303
Greece,2014,26.4899997711182
Greece,2013,27.4699993133545
Greece,2012,24.4400005340576
Greece,2011,17.8600006103516
Greece,2010,12.710000038147
Greece,2009,9.61999988555908
Greece,2008,7.76000022888184
Greece,2007,8.39999961853027
Greece,2006,9.01000022888184
Greece,2005,9.98999977111816
Greece,2004,10.3100004196167
Greece,2003,9.40999984741211
Greece,2002,9.97000026702881
Greece,2001,10.460000038147
Greece,2000,11.25
Hungary,2020,4.25
Hungary,2019,3.42000007629395
Hungary,2018,3.71000003814697
Hungary,2017,4.15999984741211
Hungary,2016,5.1100001335144
Hungary,2015,6.80999994277954
Hungary,2014,7.73000001907349
Hungary,2013,10.1800003051758
Hungary,2012,11.0
Hungary,2011,11.0299997329712
Hungary,2010,11.1700000762939
Hungary,2009,10.0299997329712
Hungary,2008,7.82000017166138
Hungary,2007,7.40999984741211
Hungary,2006,7.48999977111816
Hungary,2005,7.19000005722046
Hungary,2004,5.82999992370605
Hungary,2003,5.78999996185303
Hungary,2002,5.6100001335144
Hungary,2001,5.67000007629395
Hungary,2000,6.55999994277954
Ireland,2020,5.61999988555908
Ireland,2019,4.94999980926514
Ireland,2018,5.73999977111816
Ireland,2017,6.71000003814697
Ireland,2016,8.36999988555908
Ireland,2015,9.90999984741211
Ireland,2014,11.8599996566772
Ireland,2013,13.7299995422363
Ireland,2012,15.4499998092651
Ireland,2011,15.3500003814697
Ireland,2010,14.5299997329712
Ireland,2009,12.6099996566772
Ireland,2008,6.76999998092651
Ireland,2007,4.98000001907349
Ireland,2006,4.40999984741211
Ireland,2005,4.34000015258789
Ireland,2004,4.48999977111816
Ireland,2003,4.48000001907349
Ireland,2002,4.21999979019165
Ireland,2001,3.6800000667572
Ireland,2000,4.32000017166138
Iceland,2020,5.48000001907349
Iceland,2019,3.50999999046326
Iceland,2018,2.70000004768372
Iceland,2017,2.74000000953674
Iceland,2016,2.98000001907349
Iceland,2015,3.98000001907349
Iceland,2014,4.90000009536743
Iceland,2013,5.38000011444092
Iceland,2012,6.0
Iceland,2011,7.03000020980835
Iceland,2010,7.55999994277954
Iceland,2009,7.21999979019165
Iceland,2008,2.95000004768372
Iceland,2007,2.25
Iceland,2006,2.82999992370605
Iceland,2005,2.54999995231628
Iceland,2004,4.03000020980835
Iceland,2003,4.0
Iceland,2002,2.99000000953674
Iceland,2001,1.87000000476837
Iceland,2000,1.94000005722046
Israel,2020,4.32999992370605
Israel,2019,3.79999995231628
Israel,2018,4.0
Israel,2017,4.21999979019165
Israel,2016,4.80000019073486
Israel,2015,5.25
Israel,2014,5.8899998664856
Israel,2013,6.21000003814697
Israel,2012,6.8600001335144
Israel,2011,7.1399998664856
Israel,2010,8.47999954223633
Israel,2009,9.52999973297119
Israel,2008,7.69999980926514
Israel,2007,9.38000011444092
Israel,2006,10.710000038147
Israel,2005,11.3400001525879
Israel,2004,13.0299997329712
Israel,2003,13.5100002288818
Israel,2002,12.8900003433228
Israel,2001,11.8100004196167
Israel,2000,11.1000003814697
Italy,2020,9.15999984741211
Italy,2019,9.94999980926514
Italy,2018,10.6099996566772
Italy,2017,11.210000038147
Italy,2016,11.6899995803833
Italy,2015,11.8999996185303
Italy,2014,12.6800003051758
Italy,2013,12.1499996185303
Italy,2012,10.6499996185303
Italy,2011,8.35999965667725
Italy,2010,8.35999965667725
Italy,2009,7.75
Italy,2008,6.71999979019165
Italy,2007,6.07999992370605
Italy,2006,6.78000020980835
Italy,2005,7.73000001907349
Italy,2004,7.86999988555908
Italy,2003,8.86999988555908
Italy,2002,9.21000003814697
Italy,2001,9.60000038146973
Italy,2000,10.8400001525879
Japan,2020,2.79999995231628
Japan,2019,2.40000009536743
Japan,2018,2.40000009536743
Japan,2017,2.79999995231628
Japan,2016,3.09999990463257
Japan,2015,3.40000009536743
Japan,2014,3.59999990463257
Japan,2013,4.0
Japan,2012,4.3600001335144
Japan,2011,4.55000019073486
Japan,2010,5.09999990463257
Japan,2009,5.07000017166138
Japan,2008,4.0
Japan,2007,3.89000010490417
Japan,2006,4.19000005722046
Japan,2005,4.44999980926514
Japan,2004,4.73000001907349
Japan,2003,5.25
Japan,2002,5.3899998664856
Japan,2001,5.01999998092651
Japan,2000,4.75
"Korea, Rep.",2020,3.9300000667572
"Korea, Rep.",2019,3.75
"Korea, Rep.",2018,3.8199999332428
"Korea, Rep.",2017,3.65000009536743
"Korea, Rep.",2016,3.65000009536743
"Korea, Rep.",2015,3.54999995231628
"Korea, Rep.",2014,3.07999992370605
"Korea, Rep.",2013,2.75
"Korea, Rep.",2012,2.80999994277954
"Korea, Rep.",2011,2.99000000953674
"Korea, Rep.",2010,3.3199999332428
"Korea, Rep.",2009,3.35999989509583
"Korea, Rep.",2008,2.96000003814697
"Korea, Rep.",2007,3.00999999046326
"Korea, Rep.",2006,3.25
"Korea, Rep.",2005,3.48000001907349
"Korea, Rep.",2004,3.42000007629395
"Korea, Rep.",2003,3.34999990463257
"Korea, Rep.",2002,3.04999995231628
"Korea, Rep.",2001,3.70000004768372
"Korea, Rep.",2000,4.05999994277954
Lithuania,2020,8.48999977111816
Lithuania,2019,6.26000022888184
Lithuania,2018,6.15000009536743
Lithuania,2017,7.07000017166138
Lithuania,2016,7.8600001335144
Lithuania,2015,9.11999988555908
Lithuania,2014,10.6999998092651
Lithuania,2013,11.7700004577637
Lithuania,2012,13.3599996566772
Lithuania,2011,15.3900003433228
Lithuania,2010,17.8099994659424
Lithuania,2009,13.789999961853
Lithuania,2008,5.82999992370605
Lithuania,2007,4.25
Lithuania,2006,5.78000020980835
Lithuania,2005,8.31999969482422
Lithuania,2004,10.6800003051758
Lithuania,2003,12.8699998855591
Lithuania,2002,13.0100002288818
Lithuania,2001,16.8400001525879
Lithuania,2000,15.9300003051758
Luxembourg,2020,6.76999998092651
Luxembourg,2019,5.59000015258789
Luxembourg,2018,5.59000015258789
Luxembourg,2017,5.51999998092651
Luxembourg,2016,6.28999996185303
Luxembourg,2015,6.67000007629395
Luxembourg,2014,5.84999990463257
Luxembourg,2013,5.84999990463257
Luxembourg,2012,5.1399998664856
Luxembourg,2011,4.90000009536743
Luxembourg,2010,4.3600001335144
Luxembourg,2009,5.11999988555908
Luxembourg,2008,5.05999994277954
Luxembourg,2007,4.07000017166138
Luxembourg,2006,4.73000001907349
Luxembourg,2005,4.48999977111816
Luxembourg,2004,5.1100001335144
Luxembourg,2003,3.6800000667572
Luxembourg,2002,2.61999988555908
Luxembourg,2001,1.80999994277954
Luxembourg,2000,2.34999990463257
Latvia,2020,8.10000038146973
Latvia,2019,6.30999994277954
Latvia,2018,7.40999984741211
Latvia,2017,8.72000026702881
Latvia,2016,9.64000034332275
Latvia,2015,9.86999988555908
Latvia,2014,10.8500003814697
Latvia,2013,11.8699998855591
Latvia,2012,15.0500001907349
Latvia,2011,16.2099990844727
Latvia,2010,19.4799995422363
Latvia,2009,17.5100002288818
Latvia,2008,7.73999977111816
Latvia,2007,6.05000019073486
Latvia,2006,7.03000020980835
Latvia,2005,10.0299997329712
Latvia,2004,11.710000038147
Latvia,2003,12.0600004196167
Latvia,2002,13.8299999237061
Latvia,2001,13.8199996948242
Latvia,2000,14.210000038147
Netherlands,2020,3.8199999332428
Netherlands,2019,3.38000011444092
Netherlands,2018,3.82999992370605
Netherlands,2017,4.84000015258789
Netherlands,2016,6.01000022888184
Netherlands,2015,6.86999988555908
Netherlands,2014,7.42000007629395
Netherlands,2013,7.23999977111816
Netherlands,2012,5.82000017166138
Netherlands,2011,4.98000001907349
Netherlands,2010,4.98999977111816
Netherlands,2009,4.34999990463257
Netherlands,2008,3.65000009536743
Netherlands,2007,4.15000009536743
Netherlands,2006,5.0
Netherlands,2005,5.86999988555908
Netherlands,2004,4.65000009536743
Netherlands,2003,3.58999991416931
Netherlands,2002,2.54999995231628
Netherlands,2001,2.11999988555908
Netherlands,2000,2.73000001907349
Norway,2020,4.42000007629395
Norway,2019,3.69000005722046
Norway,2018,3.79999995231628
Norway,2017,4.15999984741211
Norway,2016,4.67999982833862
Norway,2015,4.30000019073486
Norway,2014,3.48000001907349
Norway,2013,3.42000007629395
Norway,2012,3.11999988555908
Norway,2011,3.21000003814697
Norway,2010,3.51999998092651
Norway,2009,3.09999990463257
Norway,2008,2.54999995231628
Norway,2007,2.49000000953674
Norway,2006,3.40000009536743
Norway,2005,4.38000011444092
Norway,2004,4.26000022888184
Norway,2003,4.21999979019165
Norway,2002,4.01999998092651
Norway,2001,3.74000000953674
Norway,2000,3.46000003814697
Poland,2020,3.16000008583069
Poland,2019,3.27999997138977
Poland,2018,3.84999990463257
Poland,2017,4.8899998664856
Poland,2016,6.15999984741211
Poland,2015,7.5
Poland,2014,8.98999977111816
Poland,2013,10.3299999237061
Poland,2012,10.0900001525879
Poland,2011,9.63000011444092
Poland,2010,9.64000034332275
Poland,2009,8.17000007629395
Poland,2008,7.11999988555908
Poland,2007,9.60000038146973
Poland,2006,13.8400001525879
Poland,2005,17.75
Poland,2004,19.0699996948242
Poland,2003,19.3700008392334
Poland,2002,19.8899993896484
Poland,2001,18.3700008392334
Poland,2000,16.3099994659424
Portugal,2020,6.78999996185303
Portugal,2019,6.46000003814697
Portugal,2018,6.98999977111816
Portugal,2017,8.86999988555908
Portugal,2016,11.0699996948242
Portugal,2015,12.4399995803833
Portugal,2014,13.8900003433228
Portugal,2013,16.1800003051758
Portugal,2012,15.5299997329712
Portugal,2011,12.6800003051758
Portugal,2010,10.7700004577637
Portugal,2009,9.43000030517578
Portugal,2008,7.55000019073486
Portugal,2007,7.96000003814697
Portugal,2006,7.65000009536743
Portugal,2005,7.57999992370605
Portugal,2004,6.32000017166138
Portugal,2003,6.13000011444092
Portugal,2002,4.5
Portugal,2001,3.82999992370605
Portugal,2000,3.80999994277954
Slovak Republic,2020,6.69000005722046
Slovak Republic,2019,5.75
Slovak Republic,2018,6.53999996185303
Slovak Republic,2017,8.13000011444092
Slovak Republic,2016,9.67000007629395
Slovak Republic,2015,11.4799995422363
Slovak Republic,2014,13.1800003051758
Slovak Republic,2013,14.2200002670288
Slovak Republic,2012,13.960000038147
Slovak Republic,2011,13.6199998855591
Slovak Republic,2010,14.3800001144409
Slovak Republic,2009,12.0299997329712
Slovak Republic,2008,9.51000022888184
Slovak Republic,2007,11.1400003433228
Slovak Republic,2006,13.3699998855591
Slovak Republic,2005,16.2600002288818
Slovak Republic,2004,18.6000003814697
Slovak Republic,2003,17.1200008392334
Slovak Republic,2002,18.7199993133545
Slovak Republic,2001,19.3799991607666
Slovak Republic,2000,19.0599994659424
Slovenia,2020,4.96999979019165
Slovenia,2019,4.44999980926514
Slovenia,2018,5.1100001335144
Slovenia,2017,6.55999994277954
Slovenia,2016,8.0
Slovenia,2015,8.96000003814697
Slovenia,2014,9.67000007629395
Slovenia,2013,10.1000003814697
Slovenia,2012,8.84000015258789
Slovenia,2011,8.17000007629395
Slovenia,2010,7.23999977111816
Slovenia,2009,5.8600001335144
Slovenia,2008,4.36999988555908
Slovenia,2007,4.82000017166138
Slovenia,2006,5.94999980926514
Slovenia,2005,6.51000022888184
Slovenia,2004,6.01000022888184
Slovenia,2003,6.48000001907349
Slovenia,2002,5.92000007629395
Slovenia,2001,5.67999982833862
Slovenia,2000,6.92000007629395
Sweden,2020,8.28999996185303
Sweden,2019,6.82999992370605
Sweden,2018,6.3600001335144
Sweden,2017,6.71999979019165
Sweden,2016,6.98999977111816
Sweden,2015,7.42999982833862
Sweden,2014,7.94999980926514
Sweden,2013,8.05000019073486
Sweden,2012,7.98000001907349
Sweden,2011,7.80000019073486
Sweden,2010,8.60999965667725
Sweden,2009,8.35000038146973
Sweden,2008,6.23000001907349
Sweden,2007,6.15999984741211
Sweden,2006,7.07000017166138
Sweden,2005,7.48999977111816
Sweden,2004,6.69000005722046
Sweden,2003,5.55000019073486
Sweden,2002,4.96999979019165
Sweden,2001,4.73000001907349
Sweden,2000,5.46999979019165
Turkiye,2020,13.1099996566772
Turkiye,2019,13.6700000762939
Turkiye,2018,10.8900003433228
Turkiye,2017,10.8199996948242
Turkiye,2016,10.8400001525879
Turkiye,2015,10.2399997711182
Turkiye,2014,9.88000011444092
Turkiye,2013,8.72999954223633
Turkiye,2012,8.14999961853027
Turkiye,2011,8.80000019073486
Turkiye,2010,10.6599998474121
Turkiye,2009,12.5500001907349
Turkiye,2008,9.71000003814697
Turkiye,2007,8.86999988555908
Turkiye,2006,8.72000026702881
Turkiye,2005,10.6400003433228
Turkiye,2004,10.8400001525879
Turkiye,2003,10.539999961853
Turkiye,2002,10.3599996566772
Turkiye,2001,8.38000011444092
Turkiye,2000,6.5
United States,2020,8.05000019073486
United States,2019,3.67000007629395
United States,2018,3.90000009536743
United States,2017,4.3600001335144
United States,2016,4.86999988555908
United States,2015,5.28000020980835
United States,2014,6.17000007629395
United States,2013,7.36999988555908
United States,2012,8.06999969482422
United States,2011,8.94999980926514
United States,2010,9.63000011444092
United States,2009,9.25
United States,2008,5.78000020980835
United States,2007,4.61999988555908
United States,2006,4.61999988555908
United States,2005,5.07999992370605
United States,2004,5.53000020980835
United States,2003,5.98999977111816
United States,2002,5.78000020980835
United States,2001,4.73000001907349
United States,2000,3.99000000953674
